cluster3,cluster4,cluster5,Latitude,Longitude
0,1,0,40.7524237,-74.0076661
1,0,1,40.6833771,-73.7604251
1,0,1,40.6655588,-73.7298428
1,0,1,40.7115989,-73.8581876
1,0,1,40.6669104,-73.8220088
2,1,0,40.7138459,-74.0105619
2,2,2,40.6159174,-73.9864856
0,1,0,40.7595273,-73.999242
1,1,2,40.700617,-73.8967211
0,1,0,40.7678129,-73.9620143
0,1,0,40.7469428,-73.8904995
2,1,0,40.7028269,-74.0080975
0,3,0,40.7942333,-73.9469462
1,0,1,40.6803164,-73.7287776
1,0,1,40.7283926,-73.8330138
1,0,1,40.7383334,-73.8498924
1,0,2,40.6484415,-73.8824124
1,0,1,40.7039957,-73.8770955
0,3,4,40.8251695,-73.8638821
1,0,1,40.7538316,-73.818409
2,2,2,40.5931733,-73.9463354
0,1,0,40.7646168,-73.9583231
0,1,0,40.763574,-73.9218819
1,0,1,40.7061851,-73.8081837
2,1,2,40.6549157,-73.9375172
0,3,4,40.849967,-73.9141573
2,1,2,40.635836,-73.9534278
2,2,2,40.6378239,-73.9892051
1,0,1,40.5854749,-73.8201485
2,2,2,40.6632629,-73.9951087
2,2,2,40.6431521,-73.9754682
2,1,0,40.7229337,-73.9886394
0,1,0,40.7627659,-73.9125983
0,1,0,40.7952524,-73.9732091
2,1,2,40.6635556,-73.9316086
0,3,4,40.8100528,-73.9251435
2,2,2,40.6447898,-74.0143238
2,1,2,40.6607852,-73.9398113
2,1,0,40.6965588,-73.9809032
2,2,2,40.6033434,-73.9368272
2,1,2,40.6524639,-73.9228481
1,0,1,40.7554843,-73.7417243
1,0,1,40.7187026,-73.8209218
0,1,0,40.7914974,-73.9722319
2,1,0,40.6976294,-73.9852826
1,0,1,40.7586802,-73.7755711
0,1,0,40.7609059,-73.9669961
0,3,4,40.828974,-73.9485915
1,0,1,40.6663322,-73.8105512
1,0,1,40.7346601,-73.8648139
0,1,0,40.744756,-73.9105432
2,1,2,40.6814484,-73.9464375
2,1,2,40.6515468,-73.9525627
0,1,0,40.7144238,-73.914238
0,3,0,40.8118299,-73.9611113
2,2,2,40.6213677,-74.0319191
1,0,1,40.7465563,-73.826199
2,1,2,40.679049,-73.9585677
1,0,1,40.7134287,-73.7805895
0,3,4,40.8249166,-73.868887
2,2,2,40.6054703,-73.9607309
1,0,1,40.7383736,-73.860072
2,1,2,40.6840001,-73.9503006
2,2,2,40.6067007,-74.0108222
0,1,0,40.7476308,-73.8839372
0,3,4,40.8692309,-73.8960361
1,0,1,40.660404,-73.7309558
2,2,3,40.6197301,-74.1655256
0,1,0,40.7488862,-73.9758407
0,1,0,40.7755624,-73.950337
0,3,0,40.7758291,-73.9102595
1,0,1,40.6836648,-73.8257752
1,0,1,40.7863605,-73.7946781
0,1,0,40.7589756,-73.9645027
1,0,1,40.7571844,-73.8339571
1,0,1,40.7596798,-73.8323482
2,2,2,40.5784328,-73.9763199
0,1,0,40.7578281,-73.9930696
0,1,0,40.778486,-73.9452545
0,3,4,40.8754834,-73.8575777
0,3,4,40.8200392,-73.9412533
1,0,1,40.6648664,-73.7782729
0,3,4,40.884225,-73.8347247
1,0,1,40.7079562,-73.8371456
0,3,4,40.828303,-73.8829509
0,1,0,40.7631141,-73.9625151
0,1,0,40.7457632,-73.925804
2,2,2,40.6061164,-73.9931034
0,1,0,40.7509045,-73.9806727
1,0,1,40.6778421,-73.7802596
0,3,4,40.8435983,-73.90586
0,1,0,40.755207,-73.996654
0,1,0,40.7268542,-73.9341233
1,0,1,40.7871699,-73.8069646
2,1,0,40.7061827,-73.9284486
2,1,2,40.6988936,-73.9175218
0,3,4,40.8398022,-73.928659
1,0,1,40.7066857,-73.7991436
0,1,0,40.7515772,-73.982275
2,2,3,40.6142704,-74.1566467
1,0,1,40.7887848,-73.7911507
2,2,2,40.6410626,-73.9722693
2,2,3,40.5242669,-74.2392348
2,1,2,40.6633603,-73.9597381
0,3,4,40.845966,-73.8922377
1,0,1,40.6662914,-73.87267
2,1,2,40.6309047,-73.9204195
